x0,x1,y
6.98,0.26,0.2019
8.08,1.43,-0.1986
5.54,1.4,0.2113
9.93,3.01,-0.0427
3.99,5.97,-0.0599
2.48,0.3,0.0154
5.52,0.1,-0.1301
3.97,6.84,-0.2544
1.41,2.74,0.2034
3.28,3.97,-0.2847
6.69,4.31,0.0855
4.25,6.35,-0.252
1.4,3.26,0.3583
7.91,9.7,0.165
0.93,3.9,0.247
2.84,5.68,0.3038
0.45,1.3,0.0374
6.26,8.52,-0.2196
3.74,4.68,0.141
7.48,0.67,0.1182
3.89,7.8,0.1645
4.05,7.13,-0.1406
7.8,7.13,-0.0155
3.7,9.43,-0.151
0.88,9.8,0.386
1.56,7.81,-0.35
8.33,3.35,0.1229
0.14,1.13,0.305
0.3,9.86,0.4008
1.09,7.19,0.0874
3.49,1.99,0.2662
5.84,0.76,0.2068
2.34,9.79,0.0222
5.68,2.36,-0.1962
1.73,8.09,-0.2772
7.58,3.44,0.1949
6.09,8.16,-0.0914
8.65,8.72,0.1557
0.11,6.67,0.355
8.97,4.07,-0.1847
1.63,8.67,0.044
9.42,8.62,0.1817
3.19,0.3,-0.1789
2.78,3.92,-0.2848
5.25,8.36,0.0017
8.27,6.8,0.0244
0.43,7.58,0.0454
4.11,4.22,-0.0047
6.55,3.99,0.205
6.93,5.07,-0.2111
9.34,3.79,-0.1709
1.81,2.8,0.3078
4.85,0.03,-0.2483
4.08,9.41,-0.2118
1.36,6.35,0.3601
4.5,3.16,-0.2571
4.4,9.01,-0.1102
7.31,9.89,0.1944
9.8,5.48,0.1676
9.82,7.87,0.074
3.62,6.86,-0.2819
5.78,6.49,-0.0225
1.69,9.06,0.2847
0.38,7.1,0.3842
3.49,3.08,-0.0635
1.13,5.42,-0.2103
3.3,9.1,0.1357
6.46,4.99,-0.1497
9.45,5.68,0.1681
2.17,7.1,-0.2025
6.84,9.28,0.0582
2.63,4.85,-0.0726
3.13,9.22,0.1223
4.8,5.57,-0.0597
5.63,3.39,-0.0359
8.54,2.98,0.1808
1.94,8.86,0.2443
5.33,3.98,0.1602
6.03,4.01,0.2298
2.63,9.16,0.2691
1.32,6.56,0.3448
1.49,5.84,0.2032
9.81,7.16,-0.1502
5.96,4.78,0.0436
1.45,9.29,0.3296
8.87,1.39,-0.1491
9.71,1.47,0.0165
2.92,7.17,-0.302
3.18,1.72,0.0969
9.91,9.23,-0.018
5.15,5.98,-0.2436
5.7,9.77,0.0268
6.21,1.22,0.1581
7.81,0.87,-0.0268
2.37,4.93,-0.1054
4.59,9.32,-0.2457
1.11,8.57,-0.2074
0.43,2.16,-0.4205
4.36,1.58,0.2502
6.1,9.84,0.1384
9.93,6.48,-0.1381
1.9,7.44,-0.297
1.68,9.78,0.2366
9.86,8.61,0.1636
0.06,8.59,-0.4707
9.64,2.71,0.108
3.4,4.07,-0.2464
0.43,7.3,0.2614
1.42,0.07,0.358
5.7,4.45,0.2116
1.03,5.65,-0.092
6.49,1.59,-0.0551
7.6,2.14,-0.1297
7.26,2.73,0.031
6.61,6.17,0.021
5.83,4.51,0.1774
8.29,7.39,-0.1733
6.23,6.4,0.0401
2.73,3.18,0.0978
5.56,9.9,0.0545
7.11,3.04,0.123
4.48,0.5,-0.1893
4.0,8.99,0.0064
1.58,1.61,-0.3497
6.36,2.13,-0.2095
7.87,0.44,0.1272
0.01,3.15,0.0087
3.4,5.29,0.2846
1.37,2.85,0.2554
8.91,5.11,0.0515
6.97,6.87,0.2057
1.79,7.7,-0.3406
7.4,9.6,0.2076
4.08,7.63,0.129
6.61,4.92,-0.1493
3.92,0.1,-0.228
8.83,7.56,-0.1751
7.01,6.52,0.2005
0.03,7.88,-0.0401
3.32,8.39,0.275
6.58,1.51,-0.0403
8.89,5.92,0.1795
9.77,5.85,0.0885
3.42,0.15,-0.154
0.74,0.28,0.3815
8.93,1.5,-0.1117
0.36,1.9,-0.3613
1.78,9.15,0.3226
9.13,7.57,-0.1409
9.28,9.36,0.0495
6.83,0.26,0.1898
0.07,5.86,-0.3276
8.29,1.13,-0.1775
5.05,3.75,-0.0021
3.63,5.67,0.1896
2.72,1.28,-0.2598
1.29,7.41,-0.1431
7.74,6.8,0.123
0.91,1.34,-0.1678
1.66,6.31,0.3438
4.47,5.54,0.0384
6.96,0.98,0.1047
4.13,1.99,0.2608
6.89,6.02,0.0175
5.2,7.75,0.2369
4.02,0.43,-0.2687
8.24,9.67,0.1264
8.95,8.07,-0.0069
4.46,1.9,0.2401
6.73,9.18,-0.008
5.22,1.28,0.2452
7.28,8.81,-0.0487
5.93,0.69,0.1986
6.47,3.13,0.0373
4.68,0.26,-0.2268
2.84,4.65,-0.1252
1.06,2.41,-0.1443
3.05,1.77,0.0899
5.32,6.34,-0.1813
5.01,6.05,-0.2467
4.83,6.02,-0.2337
5.77,4.95,0.0064
7.26,1.18,-0.0404
2.14,0.81,-0.194
5.05,2.27,-0.0392
8.3,3.09,0.1847
9.93,4.44,-0.0084
8.93,1.68,-0.0501
5.0,9.95,-0.0593
6.3,2.28,-0.224
6.16,9.94,0.1804
2.04,9.77,0.134
4.96,0.61,-0.0247
7.32,0.29,0.2096
5.28,8.12,0.113
9.28,0.43,-0.1205
2.89,9.14,0.2234
8.9,3.25,0.0561
0.48,5.3,-0.414
7.25,2.59,-0.0315
1.68,8.64,0.0337
4.3,0.07,-0.2561
7.09,2.1,-0.2038
2.02,1.78,-0.2157
8.8,3.45,0.0011
3.19,5.53,0.2926
5.19,7.62,0.2467
2.85,0.13,0.0097
9.85,2.49,0.1348
0.59,9.52,0.2869
3.94,0.49,-0.269
1.46,5.91,0.2324
3.43,0.65,-0.2873
9.98,0.84,-0.1385
1.0,2.99,0.2448
1.16,9.4,0.3336
2.2,5.28,0.0617
8.11,3.81,-0.0059
3.47,1.11,-0.158
0.02,1.59,-0.033
7.41,3.27,0.2047
7.17,1.7,-0.1926
8.29,2.72,0.1806
8.62,3.72,-0.0675
1.63,1.12,-0.2343
4.65,3.18,-0.258
4.92,8.6,-0.0327
5.22,5.81,-0.2232
7.01,0.86,0.1387
0.34,1.91,-0.364
9.2,4.2,-0.1749
4.85,5.2,0.1115
9.46,7.27,-0.1643
0.24,5.85,-0.2586
0.85,2.09,-0.3697
8.82,1.89,0.0055
9.99,9.59,-0.1366
9.83,5.19,0.1734
2.73,2.81,0.2724
3.41,0.28,-0.2115
7.83,2.84,0.1642
1.82,9.41,0.3329
5.81,6.44,-0.0392
6.13,6.85,0.1911
9.05,3.2,0.0491
5.55,9.76,-0.0143
1.28,4.67,-0.3395
1.71,7.38,-0.238
5.31,5.86,-0.2364
3.99,5.38,0.2219
5.63,5.7,-0.2313
4.45,2.73,-0.1236
0.98,2.43,-0.1635
0.95,2.71,0.038
0.23,6.54,0.2949
8.46,7.36,-0.1805
0.18,3.89,0.4454
6.04,6.72,0.1367
4.02,2.57,0.0746
6.63,3.96,0.2018
2.26,7.45,-0.3216
6.84,9.51,0.143
2.16,4.7,-0.2761
7.56,8.87,0.0368
1.71,1.31,-0.3212
0.29,3.94,0.4143
2.8,1.71,-0.0224
5.37,5.68,-0.2082
4.71,7.64,0.2333
6.88,4.58,-0.0715
6.09,6.02,-0.1505
4.02,0.68,-0.2138
4.78,9.12,-0.2182
4.74,8.22,0.1869
8.21,9.72,0.1151
4.48,3.99,-0.0302
8.03,4.98,-0.1514
0.86,3.47,0.3878
7.57,8.67,-0.0452
6.28,0.9,0.2204
7.68,7.12,0.0167
4.72,2.45,-0.0474
4.62,7.67,0.2316
9.29,3.87,-0.1774
2.34,4.93,-0.112
8.19,1.84,-0.1272
1.52,5.87,0.2237
9.43,8.91,0.1553
8.17,6.96,-0.0173
0.55,7.07,0.3485
7.54,8.54,-0.1013
7.21,5.93,0.0477
2.97,4.94,0.0848
0.71,0.83,0.2765
0.44,1.46,-0.0919
1.65,9.0,0.2517
1.72,2.05,-0.1555
3.26,2.38,0.2875
2.78,2.5,0.3055
5.52,2.33,-0.1654
0.53,7.07,0.3569
0.1,9.54,0.1558
9.42,4.31,-0.1314
9.3,5.07,0.101
6.73,7.15,0.1788
9.42,9.16,0.0926
1.99,0.75,-0.1174
2.58,8.04,-0.0577
5.68,7.29,0.2338
3.36,0.96,-0.2439
8.36,7.35,-0.1706
1.31,6.24,0.342
6.88,9.67,0.1917
6.38,4.67,-0.0031
5.96,9.27,-0.1379
5.59,7.35,0.2368
1.06,7.75,-0.2848
8.13,4.69,-0.1928
7.51,8.3,-0.1771
8.68,1.99,0.0158
8.78,5.88,0.1883
0.66,7.86,-0.251
8.55,0.13,0.1127
4.99,2.77,-0.224
9.14,8.04,0.0161
0.97,0.11,0.3548
8.73,5.3,0.087
0.99,5.0,-0.3806
9.4,1.81,0.0808
9.79,7.92,0.0842
1.44,0.95,-0.0701
2.4,9.55,0.1494
8.76,6.82,-0.0743
8.92,3.73,-0.1183
3.91,9.82,-0.275
9.97,7.53,-0.0167
2.01,3.09,0.3127
0.5,2.85,-0.034
0.16,8.73,-0.425
7.16,7.13,0.115
7.06,2.64,-0.0472
5.68,2.76,-0.2324
2.54,7.94,-0.1297
7.09,6.87,0.1953
8.68,0.14,0.0855
6.68,7.33,0.1335
0.85,9.29,0.2153
7.84,1.63,-0.2013
8.01,6.67,0.1197
5.19,0.01,-0.2171
6.14,4.8,-0.0077
2.93,2.78,0.244
9.23,2.32,0.1781
9.32,2.8,0.1296
7.8,0.05,0.2027
6.98,7.15,0.1389
3.86,5.89,0.0202
9.22,8.3,0.1163
7.01,2.61,-0.0715
9.36,9.03,0.137
2.81,1.54,-0.1179
2.26,2.87,0.3198
2.82,9.06,0.2661
7.72,3.12,0.2005
1.56,0.49,0.2
2.76,2.35,0.2843
0.86,8.81,-0.1399
5.3,8.95,-0.2282
0.37,1.12,0.2154
1.13,8.26,-0.3462
2.83,4.16,-0.3007
7.67,0.64,0.0921
3.45,3.05,-0.0349
1.0,3.22,0.3464
1.47,4.26,-0.189
1.99,9.43,0.3043
7.59,2.85,0.1349
6.04,3.59,0.1412
2.71,3.33,0.0147
6.43,4.56,0.0351
0.39,2.53,-0.3128
3.5,1.64,0.134
9.24,2.05,0.1295
6.64,4.73,-0.0849
9.79,1.52,0.0479
0.2,8.28,-0.3882
0.58,6.08,0.0667
7.1,3.79,0.1833
3.97,2.8,-0.0414
4.18,0.79,-0.1356
7.05,6.5,0.199
9.71,5.72,0.1318
8.42,5.23,0.0049
1.38,8.2,-0.3144
3.22,7.31,-0.2475
0.01,4.36,0.3127
4.46,0.88,-0.0171
6.29,0.17,0.0755
5.38,8.37,-0.0321
4.1,1.34,0.1287
5.67,2.92,-0.2064
9.29,8.34,0.1357
1.86,3.72,0.0442
5.57,3.06,-0.1834
2.03,9.38,0.3095
4.07,3.04,-0.181
4.75,5.81,-0.1577
7.32,2.4,-0.0897
8.14,0.69,-0.0192
0.44,1.9,-0.3736
6.54,9.92,0.211
1.44,0.96,-0.0787
8.67,5.68,0.1764
9.8,1.26,-0.0423
5.55,4.63,0.1885
7.13,4.26,0.0105
5.37,3.09,-0.2059
1.64,6.89,0.1014
4.87,7.95,0.2376
2.84,0.78,-0.2897
5.79,1.26,0.2113
0.52,9.62,0.3265
6.52,2.92,-0.046
0.7,3.06,0.2069
6.92,4.89,-0.1812
5.25,8.04,0.1505
2.46,4.88,-0.1041
2.27,7.21,-0.2673
3.29,7.32,-0.2301
8.72,7.36,-0.1887
1.74,2.33,0.0422
0.59,9.6,0.3286
5.79,2.11,-0.1297
5.95,7.75,0.1182
8.34,1.7,-0.1428
1.45,9.1,0.2538
1.48,3.55,0.266
8.51,4.28,-0.1886
9.35,7.19,-0.18
6.08,5.22,-0.1654
5.98,6.11,-0.1419
8.43,8.55,0.0765
5.01,7.76,0.2487
3.52,1.28,-0.0553
7.47,5.07,-0.1955
6.55,9.36,0.0297
6.72,9.64,0.1675
7.85,9.8,0.1497
6.08,5.59,-0.2299
4.18,3.31,-0.2635
7.42,8.57,-0.1125
8.79,0.19,0.0487
1.0,0.54,0.3327
3.74,5.86,0.0673
9.0,8.58,0.1597
9.64,3.39,-0.1174
5.49,4.21,0.2346
7.21,1.61,-0.1779
5.78,4.57,0.167
0.64,1.27,-0.0201
8.62,2.55,0.1752
0.86,2.98,0.2031
5.93,1.81,-0.0286
6.42,1.07,0.1698
8.64,7.69,-0.1714
9.9,4.04,-0.1353
2.35,9.36,0.2542
5.66,8.5,-0.149
4.14,7.67,0.1588
2.58,8.17,0.0208
8.17,0.97,-0.1247
2.04,3.35,0.2128
3.24,7.17,-0.28
9.97,8.26,0.1713
3.89,9.78,-0.2739
4.69,7.23,0.0741
6.59,7.86,-0.0699
0.61,9.94,0.4045
5.51,6.61,-0.0257
9.12,8.74,0.1845
3.94,0.13,-0.2389
8.43,0.13,0.1312
9.28,2.72,0.1524
6.37,9.16,-0.0961
8.53,3.56,0.0118
7.71,2.32,-0.0441
7.84,2.31,-0.022
6.1,2.29,-0.2186
4.99,0.85,0.1009
6.19,2.36,-0.2271
3.42,7.78,0.0379
5.5,0.77,0.1653
7.82,1.72,-0.1959
7.43,2.61,0.0176
7.45,6.77,0.1745
8.44,2.42,0.1258
9.19,3.53,-0.0938
7.5,0.58,0.143
9.33,9.35,0.0434
0.13,7.84,-0.0412
5.05,1.06,0.1951
6.71,3.9,0.205
2.45,5.2,0.0896
3.93,0.94,-0.1261
0.84,8.36,-0.3752
7.94,4.17,-0.1092
1.83,3.19,0.3191
6.28,8.58,-0.2249
0.72,9.52,0.3158
8.51,4.39,-0.1931
1.86,2.48,0.1727
3.06,4.03,-0.2955
7.94,3.67,0.0837
0.72,8.83,-0.176
0.62,9.8,0.3962
6.0,6.36,-0.0303
7.3,0.03,0.1845
9.13,2.5,0.1852
5.83,6.56,0.022
7.21,3.68,0.1915
4.07,9.82,-0.2682
3.87,5.11,0.2757
2.93,7.11,-0.2989
5.59,2.7,-0.2389
3.07,3.47,-0.1637
2.96,5.71,0.2919
2.84,1.26,-0.2421
3.48,7.95,0.1451
0.82,4.28,0.017
5.85,0.41,0.0881
5.97,3.1,-0.0916
6.66,3.06,0.0471
9.83,2.94,-0.0021
8.47,0.63,-0.0598
2.52,0.86,-0.2815
6.87,0.88,0.1566
7.85,6.36,0.1999
4.45,5.04,0.2414
8.54,9.38,0.1588
0.27,3.88,0.4297
3.3,0.4,-0.2384
6.97,8.25,-0.2142
1.81,9.48,0.32
1.38,4.56,-0.3165
1.01,4.28,-0.0523
4.57,4.71,0.2565
6.09,7.96,-0.0059
9.35,5.6,0.1809
3.69,5.84,0.0918
8.85,1.71,-0.0537
1.84,2.97,0.3388
9.69,6.13,0.0072
2.92,7.56,-0.2194
2.77,0.94,-0.3061
5.22,3.29,-0.1708
9.74,9.34,-0.0265
0.7,1.33,-0.086
0.28,9.4,0.1032
2.13,7.2,-0.2411
1.87,7.76,-0.336
4.29,5.46,0.1252
8.29,0.3,0.0995
5.42,5.49,-0.1537
3.92,1.04,-0.0735
5.29,7.43,0.2354
3.65,0.29,-0.2484
4.81,0.13,-0.2379
2.76,8.46,0.2264
9.11,9.69,-0.0399
0.49,4.52,-0.0452
9.35,8.76,0.1804
3.15,8.63,0.2953
8.36,2.91,0.195
5.44,8.56,-0.129
2.64,3.13,0.1559
4.93,3.72,-0.0489
7.6,1.45,-0.1809
9.33,5.84,0.1519
3.96,9.74,-0.2714
6.41,2.18,-0.2188
9.15,0.94,-0.1849
4.06,6.79,-0.2546
6.36,3.47,0.1494
0.84,8.49,-0.3313
1.52,4.32,-0.2374
2.21,6.71,0.0268
7.49,9.43,0.194
9.56,4.39,-0.0867
7.44,1.12,-0.0512
4.34,2.45,0.0523
8.93,9.15,0.1622
7.82,7.8,-0.2003
0.94,0.86,0.1776
5.43,9.18,-0.2356
1.19,5.56,-0.0905
5.34,4.06,0.1892
3.36,4.73,0.0711
2.46,1.24,-0.3088
7.37,7.9,-0.1924
5.98,9.46,-0.0547
7.42,8.97,0.0479
7.88,6.2,0.1994
3.21,5.15,0.2368
4.68,2.56,-0.0965
5.11,4.64,0.2407
4.19,0.51,-0.2352
4.33,8.74,0.0485
8.01,5.07,-0.1295
1.98,1.49,-0.3248
1.0,2.98,0.2375
8.83,1.58,-0.1022
2.27,6.58,0.0894
6.14,4.18,0.2136
7.81,5.06,-0.1608
2.57,1.23,-0.2974
8.01,1.56,-0.1981
3.56,4.72,0.1193
8.62,7.99,-0.0985
9.3,7.05,-0.1806
8.41,7.26,-0.1576
1.12,8.24,-0.3543
5.78,2.45,-0.2241
7.0,9.16,0.04
3.2,8.35,0.2558
7.21,9.75,0.2115
7.36,0.63,0.1503
6.91,1.19,0.0291
0.85,5.33,-0.3379
1.48,8.1,-0.3269
7.71,3.95,0.02
0.07,2.88,-0.2016
2.03,9.83,0.0977
4.01,2.4,0.1552
6.09,8.6,-0.2217
6.33,3.14,0.0105
5.44,2.57,-0.2208
2.06,7.04,-0.141
6.85,8.87,-0.1098
6.95,1.64,-0.155
1.64,8.77,0.1123
8.66,5.92,0.1907
5.03,4.33,0.224
0.1,6.83,0.4286
8.15,9.06,0.1795
0.3,5.62,-0.372
0.51,6.71,0.4049
4.38,6.93,-0.1519
5.33,3.45,-0.0799
9.82,4.96,0.1381
5.56,4.96,0.057
1.22,2.25,-0.1949
6.24,0.92,0.2218
4.88,1.39,0.2485
3.95,9.24,-0.1164
5.52,5.36,-0.1226
4.81,8.9,-0.1464
4.84,2.63,-0.157
7.78,2.79,0.1454
8.78,8.64,0.1509
9.73,8.6,0.1731
0.3,2.96,-0.031
9.01,4.14,-0.1868
8.29,0.02,0.1747
3.21,3.37,-0.1453
0.81,3.34,0.3669
1.7,9.52,0.327
9.7,7.86,0.0503
2.17,4.47,-0.3247
1.11,5.14,-0.3449
6.11,2.29,-0.219
5.14,3.67,-0.0232
2.92,7.49,-0.2471
4.26,3.96,-0.1033
2.33,0.78,-0.2174
9.16,0.83,-0.1822
2.65,8.67,0.2827
6.11,4.54,0.1142
7.89,4.07,-0.0646
1.5,1.22,-0.2514
1.63,2.87,0.3068
7.18,9.95,0.198
6.2,3.06,-0.0545
5.34,9.08,-0.2434
6.07,7.76,0.09
8.63,4.43,-0.1877
8.66,8.3,0.0247
1.77,8.9,0.2269
1.05,3.27,0.3634
4.16,3.09,-0.2138
5.02,4.16,0.1735
3.22,1.09,-0.2258
6.21,4.06,0.2236
2.15,7.81,-0.2898
2.56,8.87,0.3112
0.77,0.01,0.2824
7.04,8.01,-0.1871
7.19,3.5,0.2116
1.32,7.27,-0.0528
7.29,6.47,0.2064
9.54,1.3,-0.0745
7.93,2.7,0.1387
5.17,2.94,-0.247
5.6,6.17,-0.1884
4.23,6.67,-0.2567
2.27,5.73,0.2975
3.39,5.01,0.215
6.29,1.96,-0.1603
7.45,5.95,0.1011
8.72,4.33,-0.1896
4.67,3.32,-0.244
6.86,7.09,0.1775
7.29,8.4,-0.1812
5.56,3.29,-0.1018
1.46,4.56,-0.3271
7.68,3.79,0.0891
1.09,6.5,0.3744
5.58,6.88,0.1137
3.78,9.0,0.0611
4.49,3.11,-0.2508
9.69,0.63,-0.1784
6.35,7.25,0.206
4.51,9.91,-0.1893
2.42,4.51,-0.2879
0.57,9.84,0.402
8.81,0.82,-0.1623
4.07,9.61,-0.2614
3.28,4.66,0.0132
7.75,6.48,0.1948
0.4,9.43,0.1674
7.3,4.05,0.0653
5.34,0.27,-0.0972
3.84,1.69,0.224
8.85,0.62,-0.1153
6.18,2.19,-0.2068
5.99,8.91,-0.2249
4.73,8.47,0.081
3.16,3.03,0.0628
6.78,7.26,0.1397
9.49,7.12,-0.1783
6.79,2.41,-0.1785
6.6,0.9,0.189
0.15,7.13,0.437
2.82,4.83,-0.0244
2.57,3.88,-0.2446
5.48,1.63,0.151
2.51,9.18,0.2824
4.19,6.68,-0.2585
3.72,2.1,0.2789
1.97,7.77,-0.3253
5.63,9.13,-0.2261
2.96,7.54,-0.2157
7.29,9.62,0.2074
6.73,3.4,0.1796
1.1,6.88,0.281
3.96,2.99,-0.1352
7.52,1.67,-0.205
4.65,3.97,0.0072
3.19,0.16,-0.1051
6.6,9.8,0.1926
7.48,9.16,0.1292
6.49,5.6,-0.2035
4.42,8.64,0.076
2.94,3.31,-0.0435
4.78,6.77,-0.1284
7.58,3.45,0.1934
7.99,4.04,-0.069
7.57,9.07,0.1121
0.56,9.31,0.1372
5.27,7.85,0.2107
3.88,1.1,-0.0538
0.87,6.57,0.3842
4.61,4.91,0.2471
1.41,2.82,0.249
5.35,3.36,-0.1169
3.11,5.57,0.2943
2.79,5.11,0.1307
7.7,7.76,-0.1923
3.44,5.14,0.2625
7.73,3.8,0.0755
9.9,0.45,-0.1732
8.93,4.65,-0.1091
1.83,8.38,-0.09
3.65,9.3,-0.0699
4.09,1.77,0.2641
3.68,1.93,0.2669
6.42,7.21,0.2051
6.68,1.41,-0.0162
3.73,2.78,0.0371
2.04,0.66,-0.0704
9.78,8.14,0.1434
6.71,2.96,0.0157
5.68,6.74,0.0716
1.77,1.43,-0.3416
7.94,1.57,-0.2
0.16,8.84,-0.3812
6.83,6.65,0.208
6.23,6.81,0.1907
7.99,9.42,0.1983
3.53,1.92,0.2518
2.84,1.14,-0.2787
1.61,3.37,0.3083
2.03,4.05,-0.2179
4.9,7.72,0.2516
9.53,1.18,-0.1121
1.84,3.44,0.2218
8.22,4.43,-0.1933
8.7,0.36,-0.0015
6.5,5.79,-0.1561
5.99,3.35,0.0302
2.4,5.27,0.1151
6.86,3.65,0.2167
2.15,5.14,-0.0468
9.16,4.34,-0.1563
3.74,6.84,-0.2762
7.19,2.39,-0.1207
0.31,7.79,-0.0812
4.12,2.95,-0.1517
1.69,3.7,0.1117
3.68,1.3,-0.0038
8.14,5.64,0.1067
4.85,9.6,-0.2237
4.98,3.18,-0.2361
6.46,8.73,-0.2091
8.12,7.58,-0.1902
8.45,8.71,0.1299
6.72,8.17,-0.1914
3.76,0.3,-0.2608
1.25,6.04,0.2515
6.03,9.74,0.0851
4.49,5.94,-0.1625
7.85,6.93,0.0545
2.23,4.8,-0.2175
6.49,5.23,-0.211
5.7,4.95,0.0264
7.32,5.66,-0.0442
1.78,3.16,0.3313
2.38,0.57,-0.1187
1.77,3.72,0.0689
5.25,0.48,-0.0159
0.45,8.06,-0.317
1.91,1.05,-0.2551
9.6,7.11,-0.174
2.19,7.01,-0.1555
2.26,8.13,-0.1056
1.32,4.64,-0.334
4.83,5.45,-0.0049
6.98,2.36,-0.1632
8.19,1.11,-0.163
0.16,1.04,0.3546
5.4,1.91,0.0512
8.98,4.96,0.0092
7.82,6.84,0.0966
6.03,8.82,-0.2296
7.02,8.01,-0.1848
4.52,8.9,-0.0817
3.13,8.76,0.2888
2.71,3.92,-0.2785
0.31,6.12,-0.0058
7.46,0.93,0.0215
8.22,6.44,0.1527
6.67,5.25,-0.2186
9.51,8.94,0.1412
8.96,3.71,-0.1161
9.66,3.13,-0.0393
1.29,4.74,-0.3552
1.1,8.13,-0.3727
4.7,9.1,-0.2039
0.1,7.72,0.0789
8.26,8.37,-0.0267
9.92,3.04,-0.0506
7.46,4.21,-0.0374
2.27,6.83,-0.0712
7.54,1.02,-0.0326
2.5,4.18,-0.3122
9.01,7.25,-0.1866
7.11,0.77,0.147
0.26,4.26,0.2631
1.57,9.62,0.3252
1.89,2.58,0.2324
1.6,8.19,-0.2696
5.87,2.33,-0.2093
2.79,1.38,-0.2061
8.53,7.3,-0.1759
4.16,0.54,-0.2326
5.04,1.92,0.1292
8.75,8.37,0.0659
2.69,7.01,-0.2602
2.32,4.8,-0.1936
1.3,5.41,-0.1544
3.57,4.52,0.0106
8.64,1.03,-0.1831
5.03,2.16,0.0203
1.13,7.73,-0.2877
4.11,4.15,-0.04
6.0,8.86,-0.2282
8.0,5.66,0.0907
5.32,4.98,0.1005
7.54,1.27,-0.1274
8.01,2.69,0.1461
6.62,6.51,0.1579
9.82,4.79,0.0911
1.07,3.39,0.3758
9.99,2.48,0.1189
7.09,6.87,0.1964
6.69,1.06,0.1281
2.06,6.96,-0.0924
4.39,5.23,0.1971
0.1,4.04,0.4392
3.86,4.48,0.071
8.96,2.19,0.132
9.71,8.67,0.1676
0.97,8.91,-0.0255
0.45,9.37,0.139
4.04,4.12,-0.076
8.53,7.14,-0.1393
0.99,9.57,0.3647
7.99,0.36,0.131
5.14,6.84,-0.0085
6.91,3.93,0.173
9.5,3.25,-0.0526
0.87,9.27,0.2033
8.98,0.58,-0.1225
6.25,1.97,-0.156
3.0,5.91,0.2333
0.91,8.91,-0.0458
8.81,7.67,-0.158
4.52,3.3,-0.2585
3.46,6.53,-0.2067
2.43,8.01,-0.1236
8.37,1.65,-0.1515
1.97,6.51,0.2201
7.86,1.73,-0.191
5.74,3.64,0.1027
5.48,0.32,-0.0391
5.99,1.78,-0.0274
1.64,8.76,0.1051
7.5,5.55,-0.0513
7.18,5.84,0.0007
0.66,7.02,0.342
0.51,5.32,-0.4082
4.7,1.17,0.176
4.78,7.8,0.2549
6.1,0.82,0.2281
5.33,4.28,0.2364
5.52,2.79,-0.239
8.33,7.34,-0.1669
5.82,0.71,0.1911
7.23,6.75,0.2005
9.21,0.98,-0.1814
0.32,0.99,0.3216
0.66,3.77,0.3763
6.74,1.73,-0.1537
